trade_id,signal_type,zone_name,entry_time,entry_price,target_price,exit_time,exit_price,exit_type,pnl,hold_duration,entry_date,exit_date,entry_hour,exit_hour
1,SELL,sup1,2024-01-02T12:15:00,16804.55,16729.55,2024-01-02T12:34:00,16730.05,TARGET,74.5,19.0,2024-01-02,2024-01-02,12:15,12:34
2,SELL,sup1,2024-01-02T13:35:00,16692.05,16617.05,2024-01-02T15:09:00,16729.05,STOP_LOSS,-37.0,94.0,2024-01-02,2024-01-02,13:35,15:09
3,BUY,sup1,2024-01-02T15:09:00,16725.75,16800.75,2024-01-02T16:30:00,16743.15,FORCE_EXIT,17.4,81.0,2024-01-02,2024-01-02,15:09,16:30
4,SELL,res1,2024-01-03T09:55:00,16742.75,16667.75,2024-01-03T10:50:00,16667.05,TARGET,75.7,55.0,2024-01-03,2024-01-03,09:55,10:50
5,SELL,sup1,2024-01-03T12:35:00,16628.25,16553.25,2024-01-03T15:13:00,16550.35,TARGET,77.9,158.0,2024-01-03,2024-01-03,12:35,15:13
6,BUY,sup1,2024-01-04T09:10:00,16586.65,16661.65,2024-01-04T09:15:00,16575.45,STOP_LOSS,-11.2,5.0,2024-01-04,2024-01-04,09:10,09:15
7,BUY,sup1,2024-01-04T09:27:00,16583.15,16658.15,2024-01-04T09:30:00,16578.45,STOP_LOSS,-4.7,3.0,2024-01-04,2024-01-04,09:27,09:30
8,SELL,res1,2024-01-04T11:30:00,16589.55,16514.55,2024-01-04T13:04:00,16516.15,TARGET,73.4,94.0,2024-01-04,2024-01-04,11:30,13:04
9,SELL,res1,2024-01-04T14:21:00,16552.05,16477.05,2024-01-04T15:43:00,16569.65,STOP_LOSS,-17.6,82.0,2024-01-04,2024-01-04,14:21,15:43
10,BUY,res1,2024-01-04T15:43:00,16559.85,16634.85,2024-01-04T16:30:00,16587.85,FORCE_EXIT,28.0,47.0,2024-01-04,2024-01-04,15:43,16:30
11,SELL,sup1,2024-01-05T09:30:00,16524.15,16449.15,2024-01-05T14:31:00,16446.65,TARGET,77.5,301.0,2024-01-05,2024-01-05,09:30,14:31
12,BUY,sup1,2024-01-05T14:42:00,16478.45,16553.45,2024-01-05T15:38:00,16551.85,TARGET,73.4,56.0,2024-01-05,2024-01-05,14:42,15:38
13,SELL,res1,2024-01-08T09:25:00,16627.35,16552.35,2024-01-08T10:29:00,16548.15,TARGET,79.2,64.0,2024-01-08,2024-01-08,09:25,10:29
14,SELL,res1,2024-01-08T11:25:00,16605.95,16530.95,2024-01-08T14:24:00,16645.15,STOP_LOSS,-39.2,179.0,2024-01-08,2024-01-08,11:25,14:24
15,BUY,res1,2024-01-08T14:24:00,16637.35,16712.35,2024-01-08T16:30:00,16702.75,FORCE_EXIT,65.4,126.0,2024-01-08,2024-01-08,14:24,16:30
16,BUY,sup1,2024-01-09T09:56:00,16674.85,16749.85,2024-01-09T10:11:00,16657.15,STOP_LOSS,-17.7,15.0,2024-01-09,2024-01-09,09:56,10:11
17,BUY,sup1,2024-01-09T10:32:00,16670.75,16745.75,2024-01-09T12:27:00,16656.55,STOP_LOSS,-14.2,115.0,2024-01-09,2024-01-09,10:32,12:27
18,SELL,sup1,2024-01-09T12:27:00,16658.95,16583.95,2024-01-09T16:23:00,16687.85,STOP_LOSS,-28.9,236.0,2024-01-09,2024-01-09,12:27,16:23
19,BUY,res1,2024-01-09T16:23:00,16683.85,16758.85,2024-01-09T16:30:00,16680.75,FORCE_EXIT,-3.1,7.0,2024-01-09,2024-01-09,16:23,16:30
20,BUY,res1,2024-01-10T09:46:00,16680.85,16755.85,2024-01-10T12:57:00,16660.95,STOP_LOSS,-19.9,191.0,2024-01-10,2024-01-10,09:46,12:57
21,SELL,res1,2024-01-10T12:57:00,16664.95,16589.95,2024-01-10T16:30:00,16667.75,FORCE_EXIT,-2.8,213.0,2024-01-10,2024-01-10,12:57,16:30
22,BUY,sup1,2024-01-11T09:00:00,16788.05,16863.05,2024-01-11T14:57:00,16662.65,STOP_LOSS,-125.4,357.0,2024-01-11,2024-01-11,09:00,14:57
23,SELL,sup1,2024-01-11T14:57:00,16668.95,16593.95,2024-01-11T16:08:00,16598.25,TARGET,70.7,71.0,2024-01-11,2024-01-11,14:57,16:08
24,SELL,sup1,2024-01-11T16:14:00,16595.15,16520.15,2024-01-11T16:30:00,16604.15,FORCE_EXIT,-9.0,16.0,2024-01-11,2024-01-11,16:14,16:30
