trade_id,signal_type,zone_name,entry_time,entry_price,target_price,exit_time,exit_price,exit_type,pnl,hold_duration
1,BUY,sup1,2024-01-04T10:55:00,16586.55,16661.55,2024-01-04T12:40:00,16560.25,STOP_LOSS,-26.299999999999272,105.0
2,BUY,sup1,2024-01-05T11:10:00,16492.75,16567.75,2024-01-05T11:35:00,16468.25,STOP_LOSS,-24.5,25.0
3,BUY,sup1,2024-01-05T13:00:00,16487.95,16562.95,2024-01-05T15:45:00,16564.15,TARGET,76.20000000000073,165.0
4,BUY,res1,2024-01-08T13:45:00,16617.55,16692.55,2024-01-08T16:00:00,16699.25,TARGET,81.70000000000073,135.0
5,BUY,sup1,2024-01-09T15:00:00,16635.25,16710.25,2024-01-10T10:10:00,16730.75,TARGET,95.5,1150.0
6,BUY,sup1,2024-01-10T13:05:00,16684.55,16759.55,2024-01-10T16:05:00,16655.55,STOP_LOSS,-29.0,180.0
7,BUY,sup1,2024-01-11T14:25:00,16728.65,16803.65,2024-01-11T14:40:00,16679.55,STOP_LOSS,-49.10000000000218,15.0
8,BUY,sup1,2024-01-12T09:05:00,16659.25,16734.25,2024-01-12T12:50:00,16611.35,STOP_LOSS,-47.900000000001455,225.0
9,BUY,res1,2024-01-12T14:30:00,16658.35,16733.35,2024-01-12T15:40:00,16732.75,TARGET,74.40000000000146,70.0
10,BUY,sup1,2024-01-15T10:50:00,16663.25,16738.25,2024-01-15T14:05:00,16625.85,STOP_LOSS,-37.400000000001455,195.0
11,BUY,sup1,2024-01-16T12:00:00,16507.75,16582.75,2024-01-17T09:00:00,16395.35,STOP_LOSS,-112.40000000000146,1260.0
12,BUY,res1,2024-01-17T13:35:00,16421.05,16496.05,2024-01-17T14:00:00,16402.05,STOP_LOSS,-19.0,25.0
13,BUY,sup1,2024-01-17T16:25:00,16382.15,16457.15,2024-01-18T09:00:00,16444.05,TARGET,61.899999999999636,995.0
14,BUY,res1,2024-01-18T10:25:00,16475.65,16550.65,2024-01-18T13:15:00,16541.45,TARGET,65.79999999999927,170.0
15,BUY,sup1,2024-01-18T16:30:00,16548.05,16623.05,2024-01-19T09:00:00,16625.85,TARGET,77.79999999999927,990.0
16,BUY,sup1,2024-01-19T11:50:00,16602.85,16677.85,2024-01-19T14:40:00,16575.95,STOP_LOSS,-26.899999999997817,170.0
17,BUY,res1,2024-01-22T14:55:00,16627.95,16702.95,2024-01-23T09:00:00,16743.75,TARGET,115.79999999999927,1085.0
18,BUY,sup1,2024-01-23T11:50:00,16656.55,16731.55,2024-01-23T15:20:00,16639.35,STOP_LOSS,-17.200000000000728,210.0
19,BUY,sup1,2024-01-24T10:35:00,16783.95,16858.95,2024-01-24T13:50:00,16857.95,TARGET,74.0,195.0
20,BUY,sup1,2024-01-25T09:45:00,16843.85,16918.85,2024-01-25T10:15:00,16828.35,STOP_LOSS,-15.5,30.0
21,BUY,sup1,2024-01-25T10:50:00,16840.45,16915.45,2024-01-25T11:25:00,16826.85,STOP_LOSS,-13.600000000002183,35.0
22,BUY,res1,2024-01-26T11:15:00,16917.45,16992.45,2024-01-29T09:45:00,16898.75,STOP_LOSS,-18.700000000000728,4230.0
23,BUY,sup1,2024-01-29T11:40:00,16875.75,16950.75,2024-01-30T09:00:00,17004.25,TARGET,128.5,1280.0
