trade_id,signal_type,zone_name,entry_time,entry_price,target_price,exit_time,exit_price,exit_type,pnl,hold_duration,entry_date,exit_date,entry_hour,exit_hour
1,SELL,sup1,2024-01-02 12:16:00,16795.55,16720.55,2024-01-02 12:35:00,16723.05,TARGET,72.5,19.0,2024-01-02,2024-01-02,12:16,12:35
2,SELL,sup1,2024-01-02 13:36:00,16688.55,16613.55,2024-01-02 15:09:00,16729.05,STOP_LOSS,-40.5,93.0,2024-01-02,2024-01-02,13:36,15:09
3,BUY,sup1,2024-01-02 15:10:00,16729.55,16804.55,2024-01-02 16:30:00,16743.15,FORCE_EXIT,13.600000000002183,80.0,2024-01-02,2024-01-02,15:10,16:30
4,SELL,res1,2024-01-03 09:56:00,16739.85,16664.85,2024-01-03 10:50:00,16667.05,TARGET,72.79999999999927,54.0,2024-01-03,2024-01-03,09:56,10:50
5,SELL,sup1,2024-01-03 12:36:00,16624.35,16549.35,2024-01-03 15:13:00,16550.35,TARGET,74.0,157.0,2024-01-03,2024-01-03,12:36,15:13
6,BUY,sup1,2024-01-04 09:11:00,16592.95,16667.95,2024-01-04 09:15:00,16575.45,STOP_LOSS,-17.5,4.0,2024-01-04,2024-01-04,09:11,09:15
7,BUY,sup1,2024-01-04 09:28:00,16591.55,16666.55,2024-01-04 09:30:00,16578.45,STOP_LOSS,-13.099999999998545,2.0,2024-01-04,2024-01-04,09:28,09:30
8,SELL,res1,2024-01-04 11:31:00,16582.75,16507.75,2024-01-04 13:05:00,16506.15,TARGET,76.59999999999854,94.0,2024-01-04,2024-01-04,11:31,13:05
9,SELL,res1,2024-01-04 14:22:00,16544.75,16469.75,2024-01-04 15:43:00,16569.65,STOP_LOSS,-24.900000000001455,81.0,2024-01-04,2024-01-04,14:22,15:43
10,BUY,res1,2024-01-04 15:44:00,16570.15,16645.15,2024-01-04 16:30:00,16587.85,FORCE_EXIT,17.69999999999709,46.0,2024-01-04,2024-01-04,15:44,16:30
11,SELL,sup1,2024-01-05 09:31:00,16515.35,16440.35,2024-01-05 15:34:00,16551.25,STOP_LOSS,-35.900000000001455,363.0,2024-01-05,2024-01-05,09:31,15:34
12,BUY,res1,2024-01-05 15:35:00,16550.75,16625.75,2024-01-05 16:01:00,16623.95,TARGET,73.20000000000073,26.0,2024-01-05,2024-01-05,15:35,16:01
13,SELL,res1,2024-01-08 09:26:00,16611.55,16536.55,2024-01-08 10:30:00,16536.35,TARGET,75.20000000000073,64.0,2024-01-08,2024-01-08,09:26,10:30
14,SELL,res1,2024-01-08 11:26:00,16600.05,16525.05,2024-01-08 14:24:00,16645.15,STOP_LOSS,-45.10000000000218,178.0,2024-01-08,2024-01-08,11:26,14:24
15,BUY,res1,2024-01-08 14:25:00,16644.15,16719.15,2024-01-08 16:30:00,16702.75,FORCE_EXIT,58.599999999998545,125.0,2024-01-08,2024-01-08,14:25,16:30
16,BUY,sup1,2024-01-09 09:57:00,16680.65,16755.65,2024-01-09 10:11:00,16657.15,STOP_LOSS,-23.5,14.0,2024-01-09,2024-01-09,09:57,10:11
17,BUY,sup1,2024-01-09 10:33:00,16677.65,16752.65,2024-01-09 12:27:00,16656.55,STOP_LOSS,-21.100000000002183,114.0,2024-01-09,2024-01-09,10:33,12:27
18,SELL,sup1,2024-01-09 12:28:00,16657.05,16582.05,2024-01-09 16:23:00,16687.85,STOP_LOSS,-30.799999999999272,235.0,2024-01-09,2024-01-09,12:28,16:23
19,BUY,res1,2024-01-09 16:24:00,16687.35,16762.35,2024-01-09 16:30:00,16680.75,FORCE_EXIT,-6.599999999998545,6.0,2024-01-09,2024-01-09,16:24,16:30
20,BUY,res1,2024-01-10 09:47:00,16688.05,16763.05,2024-01-10 12:57:00,16660.95,STOP_LOSS,-27.099999999998545,190.0,2024-01-10,2024-01-10,09:47,12:57
21,SELL,res1,2024-01-10 12:58:00,16660.45,16585.45,2024-01-10 16:30:00,16667.75,FORCE_EXIT,-7.299999999999272,212.0,2024-01-10,2024-01-10,12:58,16:30
22,BUY,sup1,2024-01-11 09:01:00,16762.55,16837.55,2024-01-11 09:46:00,16837.45,TARGET,74.90000000000146,45.0,2024-01-11,2024-01-11,09:01,09:46
23,SELL,sup1,2024-01-11 11:41:00,16718.55,16643.55,2024-01-11 13:39:00,16743.25,STOP_LOSS,-24.700000000000728,118.0,2024-01-11,2024-01-11,11:41,13:39
24,BUY,res1,2024-01-11 13:40:00,16742.75,16817.75,2024-01-11 14:02:00,16712.25,STOP_LOSS,-30.5,22.0,2024-01-11,2024-01-11,13:40,14:02
25,BUY,res1,2024-01-11 14:28:00,16740.25,16815.25,2024-01-11 14:30:00,16705.25,STOP_LOSS,-35.0,2.0,2024-01-11,2024-01-11,14:28,14:30
26,SELL,sup1,2024-01-11 14:41:00,16678.65,16603.65,2024-01-11 16:06:00,16600.15,TARGET,78.5,85.0,2024-01-11,2024-01-11,14:41,16:06
27,SELL,sup1,2024-01-11 16:15:00,16587.65,16512.65,2024-01-11 16:30:00,16604.15,FORCE_EXIT,-16.5,15.0,2024-01-11,2024-01-11,16:15,16:30
28,BUY,res1,2024-01-12 09:34:00,16724.45,16799.45,2024-01-12 09:42:00,16683.95,STOP_LOSS,-40.5,8.0,2024-01-12,2024-01-12,09:34,09:42
29,SELL,res1,2024-01-12 09:48:00,16678.05,16603.05,2024-01-12 15:28:00,16724.35,STOP_LOSS,-46.29999999999927,340.0,2024-01-12,2024-01-12,09:48,15:28
30,BUY,res1,2024-01-12 15:29:00,16723.85,16798.85,2024-01-12 16:30:00,16710.35,FORCE_EXIT,-13.5,61.0,2024-01-12,2024-01-12,15:29,16:30
31,SELL,sup1,2024-01-15 09:36:00,16683.55,16608.55,2024-01-15 16:30:00,16637.95,FORCE_EXIT,45.599999999998545,414.0,2024-01-15,2024-01-15,09:36,16:30
32,BUY,res1,2024-01-16 12:51:00,16544.55,16619.55,2024-01-16 15:05:00,16518.85,STOP_LOSS,-25.700000000000728,134.0,2024-01-16,2024-01-16,12:51,15:05
33,SELL,res1,2024-01-16 15:06:00,16519.35,16444.35,2024-01-16 16:30:00,16559.95,FORCE_EXIT,-40.60000000000218,84.0,2024-01-16,2024-01-16,15:06,16:30
34,SELL,sup1,2024-01-17 10:17:00,16358.05,16283.05,2024-01-17 10:52:00,16407.55,STOP_LOSS,-49.5,35.0,2024-01-17,2024-01-17,10:17,10:52
35,BUY,sup1,2024-01-17 10:53:00,16406.55,16481.55,2024-01-17 14:49:00,16368.95,STOP_LOSS,-37.599999999998545,236.0,2024-01-17,2024-01-17,10:53,14:49
36,SELL,sup1,2024-01-17 14:50:00,16368.45,16293.45,2024-01-17 16:30:00,16389.05,FORCE_EXIT,-20.599999999998545,100.0,2024-01-17,2024-01-17,14:50,16:30
37,BUY,res1,2024-01-18 09:01:00,16443.05,16518.05,2024-01-18 12:10:00,16517.15,TARGET,74.10000000000218,189.0,2024-01-18,2024-01-18,09:01,12:10
38,SELL,res1,2024-01-18 14:26:00,16550.45,16475.45,2024-01-18 16:30:00,16554.55,FORCE_EXIT,-4.099999999998545,124.0,2024-01-18,2024-01-18,14:26,16:30
39,BUY,res1,2024-01-19 09:01:00,16625.35,16700.35,2024-01-19 15:30:00,16537.15,STOP_LOSS,-88.19999999999709,389.0,2024-01-19,2024-01-19,09:01,15:30
40,SELL,sup1,2024-01-19 15:31:00,16537.65,16462.65,2024-01-19 16:30:00,16524.65,FORCE_EXIT,13.0,59.0,2024-01-19,2024-01-19,15:31,16:30
41,SELL,res1,2024-01-22 14:13:00,16616.75,16541.75,2024-01-22 15:16:00,16636.75,STOP_LOSS,-20.0,63.0,2024-01-22,2024-01-22,14:13,15:16
42,BUY,res1,2024-01-22 15:17:00,16635.75,16710.75,2024-01-22 16:30:00,16671.85,FORCE_EXIT,36.099999999998545,73.0,2024-01-22,2024-01-22,15:17,16:30
43,BUY,sup1,2024-01-23 11:31:00,16656.55,16731.55,2024-01-23 15:18:00,16643.85,STOP_LOSS,-12.700000000000728,227.0,2024-01-23,2024-01-23,11:31,15:18
44,SELL,res1,2024-01-23 15:19:00,16644.35,16569.35,2024-01-23 16:10:00,16677.75,STOP_LOSS,-33.400000000001455,51.0,2024-01-23,2024-01-23,15:19,16:10
45,SELL,res1,2024-01-24 10:48:00,16788.55,16713.55,2024-01-24 12:07:00,16822.65,STOP_LOSS,-34.10000000000218,79.0,2024-01-24,2024-01-24,10:48,12:07
46,BUY,res1,2024-01-24 12:08:00,16823.15,16898.15,2024-01-24 15:20:00,16894.15,TARGET,71.0,192.0,2024-01-24,2024-01-24,12:08,15:20
47,SELL,res1,2024-01-24 16:23:00,16879.55,16804.55,2024-01-24 16:30:00,16880.05,FORCE_EXIT,-0.5,7.0,2024-01-24,2024-01-24,16:23,16:30
48,BUY,sup1,2024-01-25 09:34:00,16843.85,16918.85,2024-01-25 10:14:00,16830.25,STOP_LOSS,-13.599999999998545,40.0,2024-01-25,2024-01-25,09:34,10:14
49,SELL,sup1,2024-01-25 10:16:00,16827.35,16752.35,2024-01-25 10:50:00,16843.85,STOP_LOSS,-16.5,34.0,2024-01-25,2024-01-25,10:16,10:50
50,BUY,res1,2024-01-25 10:57:00,16859.55,16934.55,2024-01-25 11:07:00,16836.15,STOP_LOSS,-23.399999999997817,10.0,2024-01-25,2024-01-25,10:57,11:07
51,SELL,res1,2024-01-25 11:26:00,16826.35,16751.35,2024-01-25 14:34:00,16857.15,STOP_LOSS,-30.80000000000291,188.0,2024-01-25,2024-01-25,11:26,14:34
