trade_id,signal_type,zone_name,entry_time,entry_price,target_price,exit_time,exit_price,exit_type,pnl,hold_duration,entry_date,exit_date,entry_hour,exit_hour
1,SELL,sup1,2024-01-03T11:00:00,16644.85,16519.85,2024-01-03T12:09:00,16684.05,STOP_LOSS,-39.2,69.0,2024-01-03,2024-01-03,11:00,12:09
2,BUY,sup1,2024-01-03T12:09:00,16677.15,16802.15,2024-01-03T12:22:00,16641.85,STOP_LOSS,-35.3,13.0,2024-01-03,2024-01-03,12:09,12:22
3,SELL,sup1,2024-01-03T12:32:00,16634.85,16509.85,2024-01-03T15:47:00,16514.35,TARGET,120.5,195.0,2024-01-03,2024-01-03,12:32,15:47
4,SELL,res1,2024-01-04T12:54:00,16559.55,16434.55,2024-01-04T16:30:00,16587.85,FORCE_EXIT,-28.3,216.0,2024-01-04,2024-01-04,12:54,16:30
5,BUY,sup1,2024-01-05T09:22:00,16533.05,16658.05,2024-01-05T10:04:00,16501.75,STOP_LOSS,-31.3,42.0,2024-01-05,2024-01-05,09:22,10:04
6,SELL,sup1,2024-01-05T10:51:00,16485.35,16360.349999999999,2024-01-05T15:04:00,16537.65,STOP_LOSS,-52.3,253.0,2024-01-05,2024-01-05,10:51,15:04
7,BUY,sup1,2024-01-05T15:04:00,16536.75,16661.75,2024-01-05T16:30:00,16610.25,FORCE_EXIT,73.5,86.0,2024-01-05,2024-01-05,15:04,16:30
8,BUY,res1,2024-01-08T09:21:00,16628.55,16753.55,2024-01-08T10:00:00,16587.05,STOP_LOSS,-41.5,39.0,2024-01-08,2024-01-08,09:21,10:00
9,SELL,res1,2024-01-08T10:19:00,16585.25,16460.25,2024-01-08T11:17:00,16609.25,STOP_LOSS,-24.0,58.0,2024-01-08,2024-01-08,10:19,11:17
10,BUY,res1,2024-01-08T14:42:00,16644.15,16769.15,2024-01-08T16:30:00,16702.75,FORCE_EXIT,58.6,108.0,2024-01-08,2024-01-08,14:42,16:30
11,BUY,res1,2024-01-10T09:00:00,16689.75,16814.75,2024-01-10T09:33:00,16678.55,STOP_LOSS,-11.2,33.0,2024-01-10,2024-01-10,09:00,09:33
12,BUY,res1,2024-01-10T10:06:00,16707.05,16832.05,2024-01-10T12:31:00,16676.55,STOP_LOSS,-30.5,145.0,2024-01-10,2024-01-10,10:06,12:31
13,BUY,res1,2024-01-10T13:21:00,16700.05,16825.05,2024-01-10T13:45:00,16675.85,STOP_LOSS,-24.2,24.0,2024-01-10,2024-01-10,13:21,13:45
14,SELL,res1,2024-01-10T16:02:00,16672.25,16547.25,2024-01-10T16:30:00,16667.75,FORCE_EXIT,4.5,28.0,2024-01-10,2024-01-10,16:02,16:30
15,BUY,sup1,2024-01-11T09:00:00,16788.05,16913.05,2024-01-11T11:34:00,16726.75,STOP_LOSS,-61.3,154.0,2024-01-11,2024-01-11,09:00,11:34
16,SELL,sup1,2024-01-11T14:58:00,16663.15,16538.15,2024-01-11T16:30:00,16604.15,FORCE_EXIT,59.0,92.0,2024-01-11,2024-01-11,14:58,16:30
17,SELL,res1,2024-01-12T09:42:00,16688.35,16563.35,2024-01-12T15:48:00,16749.85,STOP_LOSS,-61.5,366.0,2024-01-12,2024-01-12,09:42,15:48
18,BUY,res1,2024-01-12T15:48:00,16745.35,16870.35,2024-01-12T16:30:00,16710.35,FORCE_EXIT,-35.0,42.0,2024-01-12,2024-01-12,15:48,16:30
19,SELL,res1,2024-01-15T10:00:00,16646.25,16521.25,2024-01-15T16:30:00,16637.95,FORCE_EXIT,8.3,390.0,2024-01-15,2024-01-15,10:00,16:30
20,BUY,res1,2024-01-16T16:12:00,16556.85,16681.85,2024-01-16T16:30:00,16559.95,FORCE_EXIT,3.1,18.0,2024-01-16,2024-01-16,16:12,16:30
21,SELL,sup1,2024-01-17T16:00:00,16351.05,16226.05,2024-01-17T16:30:00,16389.05,FORCE_EXIT,-38.0,30.0,2024-01-17,2024-01-17,16:00,16:30
22,BUY,sup1,2024-01-18T09:00:00,16464.55,16589.55,2024-01-18T16:30:00,16554.55,FORCE_EXIT,90.0,450.0,2024-01-18,2024-01-18,09:00,16:30
23,SELL,res1,2024-01-19T13:00:00,16608.55,16483.55,2024-01-19T16:30:00,16524.65,FORCE_EXIT,83.9,210.0,2024-01-19,2024-01-19,13:00,16:30
24,BUY,res1,2024-01-22T12:16:00,16633.85,16758.85,2024-01-22T14:42:00,16606.55,STOP_LOSS,-27.3,146.0,2024-01-22,2024-01-22,12:16,14:42
25,BUY,sup1,2024-01-22T14:53:00,16624.05,16749.05,2024-01-22T16:30:00,16671.85,FORCE_EXIT,47.8,97.0,2024-01-22,2024-01-22,14:53,16:30
26,BUY,sup1,2024-01-23T15:54:00,16659.35,16784.35,2024-01-23T16:30:00,16673.35,FORCE_EXIT,14.0,36.0,2024-01-23,2024-01-23,15:54,16:30
27,BUY,res1,2024-01-25T14:53:00,16866.85,16991.85,2024-01-25T16:30:00,16911.75,FORCE_EXIT,44.9,97.0,2024-01-25,2024-01-25,14:53,16:30
28,BUY,res1,2024-01-30T09:31:00,16971.55,17096.55,2024-01-30T09:54:00,16957.25,STOP_LOSS,-14.3,23.0,2024-01-30,2024-01-30,09:31,09:54
29,BUY,res1,2024-01-30T11:17:00,16968.35,17093.35,2024-01-30T13:44:00,16956.35,STOP_LOSS,-12.0,147.0,2024-01-30,2024-01-30,11:17,13:44
30,SELL,res1,2024-01-30T16:26:00,16955.05,16830.05,2024-01-30T16:30:00,16960.45,FORCE_EXIT,-5.4,4.0,2024-01-30,2024-01-30,16:26,16:30
31,BUY,sup1,2024-01-31T09:00:00,16971.15,17096.15,2024-01-31T10:35:00,16946.45,STOP_LOSS,-24.7,95.0,2024-01-31,2024-01-31,09:00,10:35
32,SELL,res1,2024-01-31T10:35:00,16951.35,16826.35,2024-01-31T16:30:00,16915.35,FORCE_EXIT,36.0,355.0,2024-01-31,2024-01-31,10:35,16:30
33,BUY,sup1,2024-02-02T09:00:00,16973.95,17098.95,2024-02-02T14:30:00,16938.65,STOP_LOSS,-35.3,330.0,2024-02-02,2024-02-02,09:00,14:30
34,SELL,res1,2024-02-02T14:30:00,16978.35,16853.35,2024-02-02T16:30:00,16925.05,FORCE_EXIT,53.3,120.0,2024-02-02,2024-02-02,14:30,16:30
35,BUY,sup1,2024-02-05T15:24:00,16904.95,17029.95,2024-02-05T16:08:00,16891.95,STOP_LOSS,-13.0,44.0,2024-02-05,2024-02-05,15:24,16:08
36,SELL,sup1,2024-02-05T16:15:00,16883.95,16758.95,2024-02-05T16:30:00,16880.65,FORCE_EXIT,3.3,15.0,2024-02-05,2024-02-05,16:15,16:30
37,SELL,res1,2024-02-06T09:17:00,16944.85,16819.85,2024-02-06T15:40:00,16975.55,STOP_LOSS,-30.7,383.0,2024-02-06,2024-02-06,09:17,15:40
38,BUY,res1,2024-02-06T15:43:00,16982.85,17107.85,2024-02-06T16:30:00,17004.05,FORCE_EXIT,21.2,47.0,2024-02-06,2024-02-06,15:43,16:30
39,SELL,res1,2024-02-07T14:47:00,16989.05,16864.05,2024-02-07T16:30:00,16954.65,FORCE_EXIT,34.4,103.0,2024-02-07,2024-02-07,14:47,16:30
40,BUY,res1,2024-02-08T14:46:00,17015.65,17140.65,2024-02-08T14:55:00,17000.15,STOP_LOSS,-15.5,9.0,2024-02-08,2024-02-08,14:46,14:55
41,BUY,res1,2024-02-08T15:07:00,17016.05,17141.05,2024-02-08T15:41:00,16997.95,STOP_LOSS,-18.1,34.0,2024-02-08,2024-02-08,15:07,15:41
42,SELL,res1,2024-02-08T16:09:00,16996.45,16871.45,2024-02-08T16:30:00,16989.85,FORCE_EXIT,6.6,21.0,2024-02-08,2024-02-08,16:09,16:30
43,SELL,sup1,2024-02-09T15:31:00,16935.65,16810.65,2024-02-09T16:30:00,16888.65,FORCE_EXIT,47.0,59.0,2024-02-09,2024-02-09,15:31,16:30
44,BUY,res1,2024-02-12T09:30:00,16992.75,17117.75,2024-02-12T09:37:00,16980.25,STOP_LOSS,-12.5,7.0,2024-02-12,2024-02-12,09:30,09:37
45,SELL,res1,2024-02-12T09:49:00,16969.05,16844.05,2024-02-12T10:15:00,16993.45,STOP_LOSS,-24.4,26.0,2024-02-12,2024-02-12,09:49,10:15
46,BUY,res1,2024-02-12T10:36:00,16995.15,17120.15,2024-02-12T12:39:00,16978.35,STOP_LOSS,-16.8,123.0,2024-02-12,2024-02-12,10:36,12:39
47,BUY,res1,2024-02-12T15:56:00,16991.95,17116.95,2024-02-12T16:30:00,17017.95,FORCE_EXIT,26.0,34.0,2024-02-12,2024-02-12,15:56,16:30
48,SELL,res1,2024-02-13T09:15:00,16970.85,16845.85,2024-02-13T15:10:00,16845.35,TARGET,125.5,355.0,2024-02-13,2024-02-13,09:15,15:10
49,BUY,res1,2024-02-15T09:00:00,16998.25,17123.25,2024-02-15T16:30:00,17042.95,FORCE_EXIT,44.7,450.0,2024-02-15,2024-02-15,09:00,16:30
50,SELL,sup1,2024-02-20T10:26:00,17044.35,16919.35,2024-02-20T10:47:00,17059.25,STOP_LOSS,-14.9,21.0,2024-02-20,2024-02-20,10:26,10:47
51,BUY,sup1,2024-02-20T10:47:00,17055.75,17180.75,2024-02-20T12:00:00,17047.05,STOP_LOSS,-8.7,73.0,2024-02-20,2024-02-20,10:47,12:00
52,SELL,res1,2024-02-20T14:47:00,17059.25,16934.25,2024-02-20T16:30:00,17056.35,FORCE_EXIT,2.9,103.0,2024-02-20,2024-02-20,14:47,16:30
53,BUY,sup1,2024-02-21T09:00:00,17083.95,17208.95,2024-02-21T16:30:00,17106.05,FORCE_EXIT,22.1,450.0,2024-02-21,2024-02-21,09:00,16:30
54,BUY,res1,2024-02-22T15:34:00,17386.85,17511.85,2024-02-22T16:30:00,17386.45,FORCE_EXIT,-0.4,56.0,2024-02-22,2024-02-22,15:34,16:30
55,SELL,res1,2024-02-23T13:15:00,17377.15,17252.15,2024-02-23T16:01:00,17431.95,STOP_LOSS,-54.8,166.0,2024-02-23,2024-02-23,13:15,16:01
56,BUY,res1,2024-02-23T16:01:00,17427.95,17552.95,2024-02-23T16:30:00,17414.95,FORCE_EXIT,-13.0,29.0,2024-02-23,2024-02-23,16:01,16:30
57,SELL,res1,2024-02-26T11:51:00,17409.35,17284.35,2024-02-26T14:36:00,17448.55,STOP_LOSS,-39.2,165.0,2024-02-26,2024-02-26,11:51,14:36
58,BUY,res1,2024-02-26T14:36:00,17442.55,17567.55,2024-02-26T16:30:00,17439.15,FORCE_EXIT,-3.4,114.0,2024-02-26,2024-02-26,14:36,16:30
59,BUY,res1,2024-02-27T09:23:00,17445.55,17570.55,2024-02-27T16:30:00,17539.65,FORCE_EXIT,94.1,427.0,2024-02-27,2024-02-27,09:23,16:30
60,SELL,res1,2024-02-28T13:17:00,17563.85,17438.85,2024-02-28T16:30:00,17580.15,FORCE_EXIT,-16.3,193.0,2024-02-28,2024-02-28,13:17,16:30
61,SELL,res1,2024-02-29T14:15:00,17663.65,17538.65,2024-02-29T15:03:00,17714.25,STOP_LOSS,-50.6,48.0,2024-02-29,2024-02-29,14:15,15:03
62,BUY,res1,2024-02-29T15:03:00,17710.85,17835.85,2024-02-29T16:30:00,17707.15,FORCE_EXIT,-3.7,87.0,2024-02-29,2024-02-29,15:03,16:30
